confianza,id_aviso,titulo,comuna,tipo,operacion,precio_uf,precio_clp,m2_util,m2_total,dormitorios,banos,senales,url
BAJA,3968075440,Excelente Departamento Para Inversion,san-miguel,departamento,venta,1800.0,73520622,32,32,1,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-3968075440-excelente-departamento-para-inversion-_JM
BAJA,2063383191,Premiun,san-miguel,departamento,venta,3372.0,137728632,47,51,2,2,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-2063383191-premiun-_JM
BAJA,4012871106,Precioso Gran Vista El Mejor Barrio De San Miguel,san-miguel,departamento,venta,4350.0,177674836,61,65,3,1,nombre_de_proyecto,https://portalinmobiliario.com/MLC-4012871106-precioso-gran-vista-el-mejor-barrio-de-san-miguel-_JM
BAJA,3968808166,Depto En Condominio Parque Santa Rosa 3 Dorm Más Terraza,san-miguel,departamento,venta,1950.0,79647340,46,49,3,1,nombre_de_proyecto,https://portalinmobiliario.com/MLC-3968808166-depto-en-condominio-parque-santa-rosa-3-dorm-mas-terraza-_JM
BAJA,2059396725,Av. Salesianos,san-miguel,departamento,venta,3490.0,142548317,50,54,2,2,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-2059396725-av-salesianos-_JM
BAJA,4045536580,Callejón Lo Ovalle (74048),san-miguel,departamento,venta,1950.0,79647340,47,49,3,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4045536580-callejon-lo-ovalle-74048-_JM
BAJA,4160980112,Metro San Miguel.,san-miguel,departamento,venta,1900.0,77605101,33,37,1,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4160980112-metro-san-miguel-_JM
BAJA,1882039241,Departamento En San Miguel.,san-miguel,departamento,venta,1602.0,65433354,45,,3,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-1882039241-departamento-en-san-miguel-_JM
BAJA,3973040968,Departamento En Décima Avenida,san-miguel,departamento,venta,2550.0,104154214,54,56,2,2,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-3973040968-departamento-en-decima-avenida-_JM
BAJA,4045523512,Vargas Bustos  (74128),san-miguel,departamento,venta,1958.63,80000000.0,43,46,1,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4045523512-vargas-bustos-74128-_JM
BAJA,3619544018,Increíble Departamento,san-miguel,departamento,venta,1950.0,79647340,48,,3,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-3619544018-increible-departamento-_JM
BAJA,4091132032,"Departamento Tipo Studio, Ideal Inversionistas",san-miguel,departamento,venta,1550.0,63309424,20,20,1,1,m2_util_minimo_de_rango,https://portalinmobiliario.com/MLC-4091132032-departamento-tipo-studio-ideal-inversionistas-_JM
BAJA,4139256744,Luminoso Depto. En Corazón De San Miguel (133049),san-miguel,departamento,venta,2200.0,89858538,55,105,2,1,superficies_incoherentes,https://portalinmobiliario.com/MLC-4139256744-luminoso-depto-en-corazon-de-san-miguel-133049-_JM
BAJA,1914886607,Departamento A La Venta,san-miguel,departamento,venta,3331.0,136053995,60,62,2,2,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-1914886607-departamento-a-la-venta-_JM
