id_eliminado,id_conservado,confianza,titulo_eliminado,precio_uf_eliminado,precio_clp_eliminado,m2_util,direccion,url
2087354583,2071200737,ALTA,"Arriendo Con Compromiso De Compra | Depto De 1d1b, En Ñuñoa",11.02,450000.0,35,"Av. Rodrigo De Araya 2400 - 2700, Ñuñoa, Macul, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-2087354583-arriendo-con-compromiso-de-compra-depto-de-1d1b-en-nunoa-_JM
4234137668,2071200737,ALTA,Moderno Departamento A Estrenar De 1d+ 1e+1e En Ñuñoa,11.75,480000.0,35,"Av. Rodrigo De Araya 2400 - 2700, Ñuñoa, Macul, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-4234137668-moderno-departamento-a-estrenar-de-1d-1e1e-en-nunoa-_JM
4130750188,4128097346,ALTA,Arriendo Depto Nuevo 1d + 1b Con Bodega | Ñuñoa | $450.000.-,11.02,450000.0,37,"Francisco De Paula 2024, Ñuñoa, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-4130750188-arriendo-depto-nuevo-1d-1b-con-bodega-nunoa-450000--_JM
4162508356,4128097346,ALTA,Arriendo Departamento Nuevo: 1d 1b,11.02,450000.0,37,"Francisco De Paula 2024, Ñuñoa, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-4162508356-arriendo-departamento-nuevo-1d-1b-_JM
2031472731,4125903704,ALTA,Metro Monseñor Eyzaguirre 1d,15.91,650000.0,38,"Julio Prado 1810, Ñuñoa, Metro Monseñor Eyzaguirre, Ñuñoa",https://portalinmobiliario.com/MLC-2031472731-metro-monsenor-eyzaguirre-1d-_JM
4162495082,4125903704,ALTA,Julio Prado / Av. Sucre / Estacionamiento,15.91,650000.0,38,"Julio Prado 1800 - 2100, Ñuñoa, Metro Monseñor Eyzaguirre, Ñuñoa",https://portalinmobiliario.com/MLC-4162495082-julio-prado-av-sucre-estacionamiento-_JM
2057041703,4084875734,ALTA,Prueba Panel 2026-07-12 - Departamento Estilo Mariposa En Ar,15.06,615000.0,58,"Zañartu 980, Ñuñoa, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-2057041703-prueba-panel-2026-07-12-departamento-estilo-mariposa-en-ar-_JM
4212341686,4084875734,ALTA,Departamento Mariposa 2d/2b En Ñuñoa,15.06,615000.0,58,"Zañartu 900 - 1200, Ñuñoa, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-4212341686-departamento-mariposa-2d2b-en-nunoa-_JM
2074123491,4047529504,ALTA,Un Dormitorio Tipo Loft De 63 Mts Totales,21.79,890000.0,58,"Los Talaveras 1 - 300, Ñuñoa, Parque Juan XXIII, Ñuñoa",https://portalinmobiliario.com/MLC-2074123491-un-dormitorio-tipo-loft-de-63-mts-totales-_JM
4191761016,4047529504,ALTA,Un Dormitorio Amplio Tipo Loft Con Estacionamiento Y Bodega,21.79,890000.0,58,"Los Talaveras 1 - 300, Ñuñoa, Parque Juan XXIII, Ñuñoa",https://portalinmobiliario.com/MLC-4191761016-un-dormitorio-amplio-tipo-loft-con-estacionamiento-y-bodega-_JM
4125845950,4211821528,ALTA,Tu Oasis En Ñuñoa Depto 2d · 2b,14.69,600000.0,45,"Av. José Pedro Alessandri 1363, Ñuñoa, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-4125845950-tu-oasis-en-nunoa-depto-2d-2b-_JM
4162443344,4211821528,ALTA,Av Jose P Alessandri / Las Palmeras / Estacionamiento - Bode,14.69,600000.0,45,"Av. José Pedro Alessandri 1200 - 1500, Ñuñoa, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-4162443344-av-jose-p-alessandri-las-palmeras-estacionamiento-bode-_JM
4145332128,4143486398,ALTA,"Depto 2d - 2b Duplex Con Terraza Y Parrilla, Estac Y Bodega.",23.0,939430,65,"Clorinda Willshaw 258, Santiago, Ñuñoa, Plaza Egaña, Ñuñoa",https://portalinmobiliario.com/MLC-4145332128-depto-2d-2b-duplex-con-terraza-y-parrilla-estac-y-bodega-_JM
4152886386,4143486398,ALTA,"Duplex Con Quincho Y Parrila, Metro Plaza Egaña, C. Willshaw",23.0,939430,65,"Clorinda Willshaw 1 - 300, Santiago, Ñuñoa, Plaza Egaña, Ñuñoa",https://portalinmobiliario.com/MLC-4152886386-duplex-con-quincho-y-parrila-metro-plaza-egana-c-willshaw-_JM
4241427598,4120942818,ALTA,Dos Dormitorios Nuevo A Estrenar,11.75,480000.0,51,"Zañartu 1800 - 2100, Ñuñoa, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-4241427598-dos-dormitorios-nuevo-a-estrenar-_JM
4218749876,4120942818,ALTA,Metro Estadio Nacional,11.75,480000.0,51,"Zañartu 2075, Ñuñoa, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-4218749876-metro-estadio-nacional-_JM
4146251976,4126583350,ALTA,Departamento Zañartu Id: 171761,15.91,650000.0,57,"Zañartu, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-4146251976-departamento-zanartu-id-171761-_JM
2045859633,4126583350,ALTA,Depto. En Arriendo 2d2b  Ñuñoa | Estadio Nacional,15.18,620000.0,57,"Zañartu, 1905, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-2045859633-depto-en-arriendo-2d2b-nunoa-estadio-nacional-_JM
2081856317,4139149688,ALTA,Guillermo Mann 1401 Depto 2 Dorms C.americana Piso 6,13.53,552800.0,54,"Guillermo Mann 1401, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-2081856317-guillermo-mann-1401-depto-2-dorms-camericana-piso-6-_JM
4229045794,4139149688,ALTA,Guillermo Mann 1401 Depto 2 Dorms Cocina Americana Piso 6,13.53,552800.0,54,"Guillermo Mann 1401, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-4229045794-guillermo-mann-1401-depto-2-dorms-cocina-americana-piso-6-_JM
3545623202,3545438718,ALTA,Departamento En Venta En Lo Vial,2100.0,85774059,34,"Ventura Blanco Viel 1321, San Miguel, Lo Vial, San Miguel",https://portalinmobiliario.com/MLC-3545623202-departamento-en-venta-en-lo-vial-_JM
2074077657,3545438718,ALTA,"Venta Dpto. San Miguel, Ventura Blanco Viel (176276)",1999.0,81648735,34,"Ventura Blanco Viel, Lo Vial, San Miguel",https://portalinmobiliario.com/MLC-2074077657-venta-dpto-san-miguel-ventura-blanco-viel-176276-_JM
4201744926,1958772827,ALTA,"Departamento 2d 2b En San Miguel, Ideal Para Vivir O Inverti",2700.0,110280933,58,"Teresa Vial 1190, Lo Vial, San Miguel",https://portalinmobiliario.com/MLC-4201744926-departamento-2d-2b-en-san-miguel-ideal-para-vivir-o-inverti-_JM
4235672432,1958772827,ALTA,2dorm 2baños Piscin/metro San Miguel-lovial (83635),2800.0,114365412,58,"Teresa Vial, Lo Vial, San Miguel",https://portalinmobiliario.com/MLC-4235672432-2dorm-2banos-piscinmetro-san-miguel-lovial-83635-_JM
1929550455,4188419156,ALTA,"Departamento A Estrenar De 1d 1b. Euclides, San Miguel. E...",2347.0,95862722,29,"El Llano, San Miguel",https://portalinmobiliario.com/MLC-1929550455-departamento-a-estrenar-de-1d-1b-euclides-san-miguel-e-_JM
4225060660,4188419156,ALTA,Últimos Deptos Desde Uf 2347 Cerca Del Metro,2347.0,95862722,29,"Euclides, 1115, El Llano, San Miguel",https://portalinmobiliario.com/MLC-4225060660-ultimos-deptos-desde-uf-2347-cerca-del-metro-_JM
4116738446,3897427652,ALTA,Departamento Novena Avenida Id: 126453,2200.0,89858538,29,"Novena Avenida, Ciudad Del Niño, San Miguel",https://portalinmobiliario.com/MLC-4116738446-departamento-novena-avenida-id-126453-_JM
4235157568,3897427652,ALTA,Cómodo Y Bien Concetado Departamento En Venta,2200.0,89858538,30,"Novena Avenida, 1316, Ciudad Del Niño, San Miguel",https://portalinmobiliario.com/MLC-4235157568-comodo-y-bien-concetado-departamento-en-venta-_JM
4191871682,3582268690,ALTA,1350 Uf 1d 1b 1b Sexta Avenida 1340 San Miguel,2350.0,95985256,31,"Sexta Avenida, 1340, Ciudad Del Niño, San Miguel",https://portalinmobiliario.com/MLC-4191871682-1350-uf-1d-1b-1b-sexta-avenida-1340-san-miguel-_JM
4198195968,3582268690,ALTA,Venta 1d 1b San Miguel 7 Min Caminando Del M Cuidad Del Niño,2200.0,89858538,31,"Sexta Avenida, 1340, Ciudad Del Niño, San Miguel",https://portalinmobiliario.com/MLC-4198195968-venta-1d-1b-san-miguel-7-min-caminando-del-m-cuidad-del-nino-_JM
1973881621,3851957630,ALTA,Departamento Álvarez De Toledo Id: 171748,1830.0,74745966,31,"Álvarez De Toledo, El Llano, San Miguel",https://portalinmobiliario.com/MLC-1973881621-departamento-alvarez-de-toledo-id-171748-_JM
1978124567,3851957630,ALTA,Departamento En Venta De 1 Dorm. En San Miguel,1830.0,74745966,31,"¡OPORTUNIDAD!, El Llano, San Miguel",https://portalinmobiliario.com/MLC-1978124567-departamento-en-venta-de-1-dorm-en-san-miguel-_JM
1947963263,3828423822,ALTA,Departamento En Venta 1d 1b Y Terraza. En San Miguel,2117.0,86468420,32,"Berlín 927, Lo Vial, San Miguel",https://portalinmobiliario.com/MLC-1947963263-departamento-en-venta-1d-1b-y-terraza-en-san-miguel-_JM
4213378076,3828423822,ALTA,"Liquidamos_dpto. 1d 1b En Berlín 927, San Miguel",2117.0,86468420,32,"Berlín 927, San Miguel, Lo Vial, San Miguel",https://portalinmobiliario.com/MLC-4213378076-liquidamosdpto-1d-1b-en-berlin-927-san-miguel-_JM
